ALL,,
|        DIAG        |                  DIAG_DESC                  |       DIAG_C       |       DIAG_5       |,,
,0,
|                  1 | CHOLERA D/T VIB CHOLERAE                    | 001.0              | 0010               |,,
,0,
|                1.1 | CHOLERA D/T VIB EL TOR                      | 001.1              | 0011               |,,
,0,
|                1.9 | CHOLERA NOS                                 | 001.9              | 0019               |,,
,0,
|                  2 | TYPHOID FEVER                               | 002.0              | 0020               |,,
,0,
|                2.1 | PARATYPHOID FEVER A                         | 002.1              | 0021               |,,
,0,
|                2.2 | PARATYPHOID FEVER B                         | 002.2              | 0022               |,,
,0,
|                2.3 | PARATYPHOID FEVER C                         | 002.3              | 0023               |,,
,0,
|                2.9 | PARATYPHOID FEVER NOS                       | 002.9              | 0029               |,,
,0,
|                  3 | SALMONELLA ENTERITIS                        | 003.0              | 0030               |,,
,0,
|                3.1 | SALMONELLA SEPTICEMIA                       | 003.1              | 0031               |,,
,0,
|                3.2 | LOCAL SALMONELLA INF NOS                    | 003.20             | 00320              |,,
,0,
|               3.21 | SALMONELLA MENINGITIS                       | 003.21             | 00321              |,,
,0,
|               3.22 | SALMONELLA PNEUMONIA                        | 003.22             | 00322              |,,
,0,
|               3.23 | SALMONELLA ARTHRITIS                        | 003.23             | 00323              |,,
,0,
|               3.24 | SALMONELLA OSTEOMYELITIS                    | 003.24             | 00324              |,,
,0,
|               3.29 | LOCAL SALMONELLA INF NEC                    | 003.29             | 00329              |,,
,0,
|                3.8 | SALMONELLA INFECTION NEC                    | 003.8              | 0038               |,,
,0,
|                3.9 | SALMONELLA INFECTION NOS                    | 003.9              | 0039               |,,
,0,
|                  4 | SHIGELLA DYSENTERIAE                        | 004.0              | 0040               |,,
,0,
|                4.1 | SHIGELLA FLEXNERI                           | 004.1              | 0041               |,,
,0,
|                4.2 | SHIGELLA BOYDII                             | 004.2              | 0042               |,,
,0,
|                4.3 | SHIGELLA SONNEI                             | 004.3              | 0043               |,,
,0,
|                4.8 | SHIGELLA INFECTION NEC                      | 004.8              | 0048               |,,
,0,
|                4.9 | SHIGELLOSIS NOS                             | 004.9              | 0049               |,,
,0,
|                  5 | STAPH FOOD POISONING                        | 005.0              | 0050               |,,
,0,
|                5.1 | BOTULISM                                    | 005.1              | 0051               |,,
,0,
|                5.2 | FOOD POIS D/T C. PERFRIN                    | 005.2              | 0052               |,,
,0,
|                5.3 | FOOD POIS: CLOSTRID NEC                     | 005.3              | 0053               |,,
,0,
|                5.4 | FOOD POIS: V. PARAHAEM                      | 005.4              | 0054               |,,
,0,
|                5.8 | BACT FOOD POISONING NEC                     | 005.8              | 0058               |,,
,0,
|                5.9 | FOOD POISONING NOS                          | 005.9              | 0059               |,,
,0,
|                  6 | AC AMEBIASIS W/O ABSCESS                    | 006.0              | 0060               |,,
,0,
|                6.1 | CHR AMEBIASIS W/O ABSCES                    | 006.1              | 0061               |,,
,0,
|                6.2 | AMEBIC NONDYSENT COLITIS                    | 006.2              | 0062               |,,
,0,
|                6.3 | AMEBIC LIVER ABSCESS                        | 006.3              | 0063               |,,
,0,
|                6.4 | AMEBIC LUNG ABSCESS                         | 006.4              | 0064               |,,
,0,
|                6.5 | AMEBIC BRAIN ABSCESS                        | 006.5              | 0065               |,,
,0,
|                6.6 | AMEBIC SKIN ULCERATION                      | 006.6              | 0066               |,,
,0,
|                6.8 | AMEBIC INFECTION NEC                        | 006.8              | 0068               |,,
,0,
|                6.9 | AMEBIASIS NOS                               | 006.9              | 0069               |,,
,0,
|                  7 | BALANTIDIASIS                               | 007.0              | 0070               |,,
,0,
|                7.1 | GIARDIASIS                                  | 007.1              | 0071               |,,
,0,
|                7.2 | COCCIDIOSIS                                 | 007.2              | 0072               |,,
,0,
|                7.3 | INTEST TRICHOMONIASIS                       | 007.3              | 0073               |,,
,0,
|                7.8 | PROTOZOAL INTEST DIS NEC                    | 007.8              | 0078               |,,
,0,
|                7.9 | PROTOZOAL INTEST DIS NOS                    | 007.9              | 0079               |,,
,0,
|                  8 | ENTERITIS-E. COLI NOS                       | 008.00             | 00800              |,,
,0,
|               8.01 | ENTERIT-ENTERPATH E.COLI                    | 008.01             | 00801              |,,
,0,
|               8.02 | ENTERIT-ENTEROTOX E.COLI                    | 008.02             | 00802              |,,
,0,
|               8.03 | ENTERIT-ENTERINVS E.COLI                    | 008.03             | 00803              |,,
,0,
|               8.04 | ENTERIT-ENTERHEMO E.COLI                    | 008.04             | 00804              |,,
,0,
|               8.09 | ENTERITIS-E. COLI NEC                       | 008.09             | 00809              |,,
,0,
|                8.1 | ARIZONA ENTERITIS                           | 008.1              | 0081               |,,
,0,
|                8.2 | AEROBACTER ENTERITIS                        | 008.2              | 0082               |,,
,0,
|                8.3 | PROTEUS ENTERITIS                           | 008.3              | 0083               |,,
,0,
|               8.41 | STAPHYLOCOCC ENTERITIS                      | 008.41             | 00841              |,,
,0,
|               8.42 | PSEUDOMONAS ENTERITIS                       | 008.42             | 00842              |,,
,0,
|               8.43 | CAMPYLOBACTER ENTERITIS                     | 008.43             | 00843              |,,
,0,
|               8.44 | Y.ENTEROCOLITICA ENTERIT                    | 008.44             | 00844              |,,
,0,
|               8.45 | C. DIFFICILE ENTERITIS                      | 008.45             | 00845              |,,
,0,
|               8.46 | ENTERITIS-ANAEROBE NEC                      | 008.46             | 00846              |,,
,0,
|               8.47 | ENTERIT-GRM NEG BACT NEC                    | 008.47             | 00847              |,,
,0,
|               8.49 | BACTERIAL ENTERITIS NEC                     | 008.49             | 00849              |,,
,0,
|                8.5 | BACTERIAL ENTERITIS NOS                     | 008.5              | 0085               |,,
,0,
|               8.61 | ROTAVIRUS ENTERITIS                         | 008.61             | 00861              |,,
,0,
|               8.62 | ADENOVIRUS ENTERITIS                        | 008.62             | 00862              |,,
,0,
|               8.63 | NORWALK VIRUS ENTERITIS                     | 008.63             | 00863              |,,
,0,
|               8.64 | ENTERITIS-SRV NEC                           | 008.64             | 00864              |,,
,0,
|               8.65 | CALCIVIRUS ENTERITIS                        | 008.65             | 00865              |,,
,0,
|               8.66 | ASTROVIRUS ENTERITIS                        | 008.66             | 00866              |,,
,0,
|               8.67 | ENTERIT-ENTEROVIRUS NEC                     | 008.67             | 00867              |,,
,0,
|               8.69 | VIRAL ENTERITIS NEC                         | 008.69             | 00869              |,,
,0,
|                8.8 | VIRAL ENTERITIS NOS                         | 008.8              | 0088               |,,
,0,
|                  9 | INFECTIOUS ENTERITIS NOS                    | 009.0              | 0090               |,,
,0,
|                9.1 | ENTERITIS OF INFECT ORIG                    | 009.1              | 0091               |,,
,0,
|                9.2 | INFECTIOUS DIARRHEA NOS                     | 009.2              | 0092               |,,
,0,
|                9.3 | DIARRHEA OF INFECT ORIG                     | 009.3              | 0093               |,,
,0,
|                 10 | PRIM TB COMPLEX-UNSPEC                      | 010.00             | 01000              |,,
,0,
|              10.01 | PRIM TB COMPLEX-NO EXAM                     | 010.01             | 01001              |,,
,0,
|              10.02 | PRIM TB COMPLEX-EXM UNKN                    | 010.02             | 01002              |,,
,0,
|              10.03 | PRIM TB COMPLEX-MICRO DX                    | 010.03             | 01003              |,,
,0,
|              10.04 | PRIM TB COMPLEX-CULT DX                     | 010.04             | 01004              |,,
,0,
|              10.05 | PRIM TB COMPLEX-HISTO DX                    | 010.05             | 01005              |,,
,0,
|              10.06 | PRIM TB COMPLEX-OTH TEST                    | 010.06             | 01006              |,,
,0,
